a,b,c,d,e,f,g,h,i,j,k,l,auc,infer_time
0,0,0,0,1,1,0,1,0,1,1,0,0.464285714,0.178361416
0,0,0,0,1,1,0,1,0,1,1,1,0.464285714,0.172977448
0,0,0,0,1,1,0,1,1,0,0,0,0.464285714,0.167641401
0,0,0,0,1,1,0,1,1,0,0,1,0.464285714,0.173909187
0,0,0,0,1,1,0,1,1,0,1,0,0.464285714,0.189083099
0,0,0,0,1,1,0,1,1,0,1,1,0.464285714,0.171773195
0,0,0,0,1,1,0,1,1,1,0,0,0.464285714,0.195009947
0,0,0,0,1,1,0,1,1,1,0,1,0.464285714,0.18701148
0,0,0,0,1,1,0,1,1,1,1,0,0.464285714,0.17094636
0,0,0,0,1,1,0,1,1,1,1,1,0.464285714,0.179041147
0,0,0,0,1,1,1,0,0,0,0,0,0.535714286,0.227472305
0,0,0,0,1,1,1,0,0,0,0,1,0.535714286,0.211658716
0,0,0,0,1,1,1,0,0,0,1,0,0.535714286,0.240941286
0,0,0,0,1,1,1,0,0,0,1,1,0.535714286,0.235084772
0,0,0,0,1,1,1,0,0,1,0,0,0.535714286,0.23903203
0,0,0,0,1,1,1,0,0,1,0,1,0.535714286,0.224871159
0,0,0,0,1,1,1,0,0,1,1,0,0.535714286,0.238929033
0,0,0,0,1,1,1,0,0,1,1,1,0.535714286,0.251277208
0,0,0,0,1,1,1,0,1,0,0,0,0.535714286,0.215775967
0,0,0,0,1,1,1,0,1,0,0,1,0.535714286,0.222582579
0,0,0,0,1,1,1,0,1,0,1,0,0.535714286,0.256616592
0,0,0,0,1,1,1,0,1,0,1,1,0.535714286,0.230528355
0,0,0,0,1,1,1,0,1,1,0,0,0.535714286,0.231751919
0,0,0,0,1,1,1,0,1,1,0,1,0.535714286,0.245469809
0,0,0,0,1,1,1,0,1,1,1,0,0.535714286,0.214743137
0,0,0,0,1,1,1,0,1,1,1,1,0.535714286,0.215098381
0,0,0,0,1,1,1,1,0,0,0,0,0.464285714,0.2364254
0,0,0,0,1,1,1,1,0,0,0,1,0.464285714,0.220300436
0,0,0,0,1,1,1,1,0,0,1,0,0.464285714,0.216997147
0,0,0,0,1,1,1,1,0,0,1,1,0.464285714,0.238372087
0,0,0,0,1,1,1,1,0,1,0,0,0.464285714,0.247718811
0,0,0,0,1,1,1,1,0,1,0,1,0.464285714,0.215474844
0,0,0,0,1,1,1,1,0,1,1,0,0.464285714,0.248945475
0,0,0,0,1,1,1,1,0,1,1,1,0.464285714,0.238712549
0,0,0,0,1,1,1,1,1,0,0,0,0.464285714,0.21228528
0,0,0,0,1,1,1,1,1,0,0,1,0.464285714,0.241804838
0,0,0,0,1,1,1,1,1,0,1,0,0.464285714,0.213338614
0,0,0,0,1,1,1,1,1,0,1,1,0.464285714,0.210407972
0,0,0,0,1,1,1,1,1,1,0,0,0.464285714,0.242952347
0,0,0,0,1,1,1,1,1,1,0,1,0.464285714,0.21143651
0,0,0,0,1,1,1,1,1,1,1,0,0.464285714,0.219670534
0,0,0,0,1,1,1,1,1,1,1,1,0.464285714,0.218652964
0,0,0,1,0,0,0,0,0,0,0,0,0.535714286,0.203525782
0,0,0,1,0,0,0,0,0,0,0,1,0.535714286,0.202189445
0,0,0,1,0,0,0,0,0,0,1,0,0.535714286,0.189053774
0,0,0,1,0,0,0,0,0,0,1,1,0.535714286,0.187688112
0,0,0,1,0,0,0,0,0,1,0,0,0.535714286,0.219399691
0,0,0,1,0,0,0,0,0,1,0,1,0.535714286,0.188273907
0,0,0,1,0,0,0,0,0,1,1,0,0.535714286,0.197957754
0,0,0,1,0,0,0,0,0,1,1,1,0.535714286,0.176506758
0,0,0,1,0,0,0,0,1,0,0,0,0.535714286,0.179586172
0,0,0,1,0,0,0,0,1,0,0,1,0.535714286,0.20186305
0,0,0,1,0,0,0,0,1,0,1,0,0.535714286,0.194475651
0,0,0,1,0,0,0,0,1,0,1,1,0.535714286,0.18552947
0,0,0,1,0,0,0,0,1,1,0,0,0.535714286,0.181703568
0,0,0,1,0,0,0,0,1,1,0,1,0.535714286,0.181245804
0,0,0,1,0,0,0,0,1,1,1,0,0.535714286,0.193375349
0,0,0,1,0,0,0,0,1,1,1,1,0.535714286,0.17824626
0,0,0,1,0,0,0,1,0,0,0,0,0.535714286,0.181566715
0,0,0,1,0,0,0,1,0,0,0,1,0.535714286,0.188942432
0,0,0,1,0,0,0,1,0,0,1,0,0.535714286,0.172153711
0,0,0,1,0,0,0,1,0,0,1,1,0.535714286,0.199972868
0,0,0,1,0,0,0,1,0,1,0,0,0.535714286,0.176392555
0,0,0,1,0,0,0,1,0,1,0,1,0.535714286,0.196793795
0,0,0,1,0,0,0,1,0,1,1,0,0.535714286,0.19075942
0,0,0,1,0,0,0,1,0,1,1,1,0.535714286,0.186875105
0,0,0,1,0,0,0,1,1,0,0,0,0.535714286,0.175249577
0,0,0,1,0,0,0,1,1,0,0,1,0.535714286,0.185226917
0,0,0,1,0,0,0,1,1,0,1,0,0.535714286,0.219060421
0,0,0,1,0,0,0,1,1,0,1,1,0.535714286,0.177140951
0,0,0,1,0,0,0,1,1,1,0,0,0.535714286,0.173135519
0,0,0,1,0,0,0,1,1,1,0,1,0.535714286,0.203992128
0,0,0,1,0,0,0,1,1,1,1,0,0.464285714,0.201451778
0,0,0,1,0,0,0,1,1,1,1,1,0.535714286,0.171755552
0,0,0,1,0,0,1,0,0,0,0,0,0.535714286,0.281435251
0,0,0,1,0,0,1,0,0,0,0,1,0.535714286,0.294761896
0,0,0,1,0,0,1,0,0,0,1,0,0.535714286,0.269056797
0,0,0,1,0,0,1,0,0,0,1,1,0.535714286,0.290575027
0,0,0,1,0,0,1,0,0,1,0,0,0.535714286,0.286422014
0,0,0,1,0,0,1,0,0,1,0,1,0.535714286,0.25099659
0,0,0,1,0,0,1,0,0,1,1,0,0.535714286,0.300670147
0,0,0,1,0,0,1,0,0,1,1,1,0.535714286,0.266879082
0,0,0,1,0,0,1,0,1,0,0,0,0.535714286,0.265923023
0,0,0,1,0,0,1,0,1,0,0,1,0.535714286,0.248742104
0,0,0,1,0,0,1,0,1,0,1,0,0.535714286,0.244841814
0,0,0,1,0,0,1,0,1,0,1,1,0.535714286,0.287329435
0,0,0,1,0,0,1,0,1,1,0,0,0.535714286,0.283899784
0,0,0,1,0,0,1,0,1,1,0,1,0.535714286,0.247814178
0,0,0,1,0,0,1,0,1,1,1,0,0.535714286,0.24960494
0,0,0,1,0,0,1,0,1,1,1,1,0.535714286,0.246002913
0,0,0,1,0,0,1,1,0,0,0,0,0.535714286,0.260826826
0,0,0,1,0,0,1,1,0,0,0,1,0.535714286,0.254197836
0,0,0,1,0,0,1,1,0,0,1,0,0.535714286,0.274189234
0,0,0,1,0,0,1,1,0,0,1,1,0.535714286,0.279124975
0,0,0,1,0,0,1,1,0,1,0,0,0.535714286,0.25935936
0,0,0,1,0,0,1,1,0,1,0,1,0.535714286,0.251583338
0,0,0,1,0,0,1,1,0,1,1,0,0.535714286,0.28899622
0,0,0,1,0,0,1,1,0,1,1,1,0.535714286,0.276814222
0,0,0,1,0,0,1,1,1,0,0,0,0.535714286,0.260215759
0,0,0,1,0,0,1,1,1,0,0,1,0.535714286,0.267610312
0,0,0,1,0,0,1,1,1,0,1,0,0.535714286,0.248429537
0,0,0,1,0,0,1,1,1,0,1,1,0.535714286,0.275892496
0,0,0,1,0,0,1,1,1,1,0,0,0.535714286,0.267798901
0,0,0,1,0,0,1,1,1,1,0,1,0.535714286,0.272095442
0,0,0,1,0,0,1,1,1,1,1,0,0.535714286,0.292351246
0,0,0,1,0,0,1,1,1,1,1,1,0.535714286,0.264610291
0,0,0,1,0,1,0,0,0,0,0,0,0.535714286,0.383809805
0,0,0,1,0,1,0,0,0,0,0,1,0.535714286,0.392121553
0,0,0,1,0,1,0,0,0,0,1,0,0.535714286,0.346346855
0,0,0,1,0,1,0,0,0,0,1,1,0.535714286,0.333917141
0,0,0,1,0,1,0,0,0,1,0,0,0.535714286,0.355448246
0,0,0,1,0,1,0,0,0,1,0,1,0.535714286,0.352517128
0,0,0,1,0,1,0,0,0,1,1,0,0.535714286,0.35613513
0,0,0,1,0,1,0,0,0,1,1,1,0.535714286,0.362588167
0,0,0,1,0,1,0,0,1,0,0,0,0.535714286,0.341931343
0,0,0,1,0,1,0,0,1,0,0,1,0.535714286,0.375215292
0,0,0,1,0,1,0,0,1,0,1,0,0.535714286,0.339056015
0,0,0,1,0,1,0,0,1,0,1,1,0.535714286,0.331193686
0,0,0,1,0,1,0,0,1,1,0,0,0.535714286,0.351883173
0,0,0,1,0,1,0,0,1,1,0,1,0.535714286,0.387198925
0,0,0,1,0,1,0,0,1,1,1,0,0.535714286,0.330106497
0,0,0,1,0,1,0,0,1,1,1,1,0.535714286,0.372470379
0,0,0,1,0,1,0,1,0,0,0,0,0.464285714,0.339658737
0,0,0,1,0,1,0,1,0,0,0,1,0.464285714,0.393064976
0,0,0,1,0,1,0,1,0,0,1,0,0.464285714,0.362611532
0,0,0,1,0,1,0,1,0,0,1,1,0.464285714,0.340280533
0,0,0,1,0,1,0,1,0,1,0,0,0.464285714,0.359062433
0,0,0,1,0,1,0,1,0,1,0,1,0.464285714,0.349149227
0,0,0,1,0,1,0,1,0,1,1,0,0.464285714,0.347221136
0,0,0,1,0,1,0,1,0,1,1,1,0.464285714,0.386236429
0,0,0,1,0,1,0,1,1,0,0,0,0.464285714,0.383996248
0,0,0,1,0,1,0,1,1,0,0,1,0.464285714,0.384878397
0,0,0,1,0,1,0,1,1,0,1,0,0.464285714,0.410890341
0,0,0,1,0,1,0,1,1,0,1,1,0.464285714,0.349728823
0,0,0,1,0,1,0,1,1,1,0,0,0.464285714,0.360757113
0,0,0,1,0,1,0,1,1,1,0,1,0.464285714,0.368340969
0,0,0,1,0,1,0,1,1,1,1,0,0.464285714,0.333564997
0,0,0,1,0,1,0,1,1,1,1,1,0.464285714,0.33783412
0,0,0,1,0,1,1,0,0,0,0,0,0.535714286,0.781149387
0,0,0,1,0,1,1,0,0,0,0,1,0.535714286,0.776364565
0,0,0,1,0,1,1,0,0,0,1,0,0.535714286,0.821207285
0,0,0,1,0,1,1,0,0,0,1,1,0.535714286,0.811781883
0,0,0,1,0,1,1,0,0,1,0,0,0.535714286,0.755017519
0,0,0,1,0,1,1,0,0,1,0,1,0.535714286,0.75976491
0,0,0,1,0,1,1,0,0,1,1,0,0.535714286,0.795874119
